state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
AL,2020-08-26,"10,385","10,330","10,440",73.66,72.20,75.12,"14,099","14,005","14,193"
AR,2020-08-26,"5,247","5,221","5,273",68.30,67.44,69.16,"7,641","7,598","7,684"
CT,2020-08-26,"6,024","5,959","6,088",74.59,72.20,76.99,"8,075","8,004","8,146"
ID,2020-08-26,"1,769","1,746","1,792",50.05,47.99,52.12,"3,534","3,474","3,594"
IN,2020-08-26,"10,223","10,070","10,376",62.97,59.87,66.08,"16,234","16,030","16,438"
KS,2020-08-26,"4,241","4,052","4,430",55.59,46.94,64.24,"7,562","7,282","7,841"
LA,2020-08-26,"9,018","9,009","9,027",64.95,64.65,65.26,"13,442","13,421","13,463"
MD,2020-08-26,"7,991","7,464","8,518",79.52,63.02,96.01,"10,050","9,398","10,701"
MI,2020-08-26,"17,079","17,020","17,138",74.54,73.73,75.36,"22,912","22,831","22,993"
AL,2020-08-27,"10,237","10,234","10,240",72.71,72.71,72.71,"14,079","14,079","14,079"
AR,2020-08-27,"5,249","5,141","5,356",66.71,61.56,71.87,"7,832","7,642","8,021"
CT,2020-08-27,"5,974","5,965","5,984",73.98,73.63,74.34,"8,076","8,066","8,085"
ID,2020-08-27,"1,803","1,781","1,824",50.64,48.68,52.60,"3,560","3,501","3,619"
IN,2020-08-27,"10,203","10,075","10,332",62.74,60.11,65.36,"16,263","16,088","16,438"
KS,2020-08-27,"4,313","4,230","4,396",56.27,52.11,60.43,"7,566","7,413","7,720"
LA,2020-08-27,"8,787","8,776","8,797",63.66,63.35,63.97,"13,386","13,365","13,407"
MD,2020-08-27,"8,027","8,027","8,027",79.93,79.93,79.93,"10,042","9,971","10,113"
MI,2020-08-27,"16,865","16,389","17,342",73.83,67.09,80.56,"22,844","22,223","23,465"
AL,2020-08-28,"10,114","10,105","10,123",71.79,71.59,71.98,"14,089","14,078","14,100"
AR,2020-08-28,"5,041","4,975","5,106",65.28,62.58,67.99,"7,684","7,599","7,770"
CT,2020-08-28,"5,836","5,836","5,836",72.26,72.26,72.26,"8,076","8,076","8,076"
ID,2020-08-28,"1,743","1,721","1,765",48.94,46.98,50.90,"3,562","3,503","3,621"
IN,2020-08-28,"9,874","9,690","10,057",61.91,58.24,65.58,"15,948","15,724","16,172"
KS,2020-08-28,"4,219","3,855","4,583",55.22,39.11,71.34,"7,540","7,054","8,026"
LA,2020-08-28,"8,862","8,850","8,874",64.14,63.79,64.49,"13,394","13,372","13,416"
MD,2020-08-28,"7,872","7,872","7,872",78.26,78.26,78.26,"10,059","9,994","10,124"
MI,2020-08-28,"16,568","16,536","16,600",73.39,72.96,73.83,"22,574","22,524","22,624"
AL,2020-08-29,"9,534","9,508","9,561",67.79,67.04,68.55,"14,064","14,013","14,114"
AR,2020-08-29,"4,937","4,723","5,151",64.58,56.22,72.95,"7,606","7,388","7,825"
CT,2020-08-29,"5,738","5,613","5,863",71.05,66.45,75.66,"8,076","7,942","8,209"
ID,2020-08-29,"1,678","1,656","1,699",47.14,45.20,49.07,"3,559","3,501","3,617"
IN,2020-08-29,"9,569","9,228","9,910",59.94,53.02,66.85,"15,965","15,535","16,395"
KS,2020-08-29,"4,127","3,797","4,458",54.22,39.21,69.22,"7,510","7,046","7,974"
LA,2020-08-29,"8,793","8,739","8,847",64.29,63.26,65.32,"13,248","13,234","13,262"
MD,2020-08-29,"7,387","6,855","7,919",74.82,57.85,91.79,"9,873","9,216","10,530"
MI,2020-08-29,"16,209","16,107","16,311",71.66,70.09,73.22,"22,620","22,464","22,776"
AL,2020-08-30,"9,323","9,301","9,345",66.34,65.79,66.90,"14,052","14,018","14,087"
AR,2020-08-30,"4,705","4,524","4,886",62.43,56.16,68.69,"7,498","7,425","7,570"
CT,2020-08-30,"5,518","5,393","5,643",68.46,63.82,73.10,"8,060","7,927","8,194"
ID,2020-08-30,"1,622","1,588","1,656",45.98,43.01,48.94,"3,528","3,468","3,588"
IN,2020-08-30,"9,449","9,057","9,841",58.32,50.49,66.14,"16,203","15,716","16,691"
KS,2020-08-30,"3,910","3,803","4,017",51.29,45.70,56.88,"7,514","7,304","7,723"
LA,2020-08-30,"8,632","8,568","8,697",63.53,62.29,64.77,"13,202","13,185","13,218"
MD,2020-08-30,"7,505","7,475","7,535",76.14,75.19,77.08,"9,857","9,821","9,894"
MI,2020-08-30,"15,651","15,492","15,810",69.33,67.04,71.63,"22,573","22,360","22,786"
AL,2020-08-31,"9,598","9,588","9,609",68.22,67.99,68.44,"14,070","14,058","14,082"
AR,2020-08-31,"4,798","4,774","4,822",62.41,61.47,63.36,"7,648","7,612","7,684"
CT,2020-08-31,"5,502","5,502","5,502",68.17,68.17,68.17,"8,071","8,071","8,071"
ID,2020-08-31,"1,607","1,591","1,624",45.42,43.87,46.97,"3,539","3,481","3,597"
IN,2020-08-31,"9,493","9,161","9,825",58.85,52.22,65.47,"16,132","15,723","16,540"
KS,2020-08-31,"4,021","4,006","4,037",52.51,51.40,53.62,"7,546","7,487","7,605"
LA,2020-08-31,"8,910","8,796","9,024",65.38,62.89,67.88,"13,211","13,105","13,316"
MD,2020-08-31,"7,410","7,370","7,449",75.78,73.37,78.19,"9,778","9,653","9,903"
MI,2020-08-31,"15,835","15,810","15,860",69.63,69.28,69.98,"22,742","22,697","22,787"
AL,2020-09-01,"10,096","10,084","10,107",71.77,71.52,72.02,"14,067","14,054","14,080"
AR,2020-09-01,"5,158","5,138","5,177",66.06,65.19,66.94,"7,764","7,734","7,795"
CT,2020-09-01,"5,786","5,777","5,796",71.64,71.28,72.00,"8,078","8,068","8,087"
ID,2020-09-01,"1,673","1,665","1,681",47.71,46.73,48.68,"3,507","3,450","3,564"
IN,2020-09-01,"9,960","9,862","10,058",61.69,59.82,63.57,"16,144","16,034","16,253"
KS,2020-09-01,"4,288","4,275","4,302",55.87,55.00,56.74,"7,494","7,432","7,556"
LA,2020-09-01,"9,364","9,291","9,436",68.30,66.95,69.65,"13,275","13,252","13,298"
MD,2020-09-01,"7,731","7,550","7,912",78.58,72.67,84.49,"9,838","9,605","10,071"
MI,2020-09-01,"16,475","16,333","16,617",71.76,68.65,74.87,"22,958","22,586","23,331"
AL,2020-09-02,"10,349","10,225","10,473",73.72,70.70,76.74,"14,039","13,858","14,220"
AR,2020-09-02,"5,376","5,352","5,400",67.87,66.88,68.87,"7,880","7,846","7,913"
CT,2020-09-02,"5,964","5,964","5,964",74.98,74.98,74.98,"7,954","7,954","7,954"
ID,2020-09-02,"1,742","1,737","1,747",48.79,48.24,49.33,"3,570","3,517","3,623"
IN,2020-09-02,"10,060","9,991","10,129",62.31,60.93,63.69,"16,145","16,058","16,232"
KS,2020-09-02,"4,328","4,312","4,344",56.40,55.39,57.41,"7,498","7,432","7,564"
LA,2020-09-02,"9,536","9,459","9,613",69.11,67.68,70.55,"13,383","13,353","13,413"
MD,2020-09-02,"7,847","7,847","7,847",79.09,79.09,79.09,"9,922","9,922","9,922"
MI,2020-09-02,"17,080","17,064","17,097",74.61,74.21,75.01,"22,893","22,844","22,942"
AL,2020-09-03,"10,269","10,254","10,284",73.04,72.65,73.42,"14,059","14,035","14,083"
AR,2020-09-03,"5,329","5,312","5,347",68.03,67.08,68.99,"7,797","7,760","7,834"
CT,2020-09-03,"5,918","5,918","5,918",73.34,73.34,73.34,"8,069","8,069","8,069"
ID,2020-09-03,"1,735","1,727","1,743",49.44,49.44,49.44,"3,510","3,459","3,561"
IN,2020-09-03,"9,976","9,959","9,993",62.02,61.58,62.45,"16,086","16,052","16,120"
KS,2020-09-03,"4,263","4,245","4,280",57.83,56.58,59.08,"7,196","7,127","7,265"
LA,2020-09-03,"9,372","9,279","9,466",67.87,65.82,69.92,"13,376","13,282","13,471"
MD,2020-09-03,"7,886","7,886","7,886",79.50,79.50,79.50,"9,919","9,919","9,919"
MI,2020-09-03,"17,102","16,790","17,413",74.59,70.40,78.79,"22,926","22,558","23,294"
AL,2020-09-04,"10,048","10,045","10,052",71.53,71.37,71.69,"14,048","14,036","14,060"
AR,2020-09-04,"5,120","5,058","5,183",65.54,62.86,68.22,"7,777","7,690","7,864"
CT,2020-09-04,"5,894","5,884","5,904",73.09,72.73,73.45,"8,064","8,054","8,074"
ID,2020-09-04,"1,731","1,721","1,741",48.30,46.20,50.41,"3,584","3,534","3,634"
IN,2020-09-04,"9,838","9,673","10,004",61.19,57.81,64.56,"16,079","15,862","16,296"
KS,2020-09-04,"4,200","3,875","4,526",56.87,41.70,72.05,"7,211","6,763","7,660"
LA,2020-09-04,"9,203","9,106","9,300",66.60,64.38,68.82,"13,386","13,277","13,496"
MD,2020-09-04,"7,870","7,390","8,350",78.83,63.86,93.80,"9,983","9,403","10,563"
MI,2020-09-04,"16,849","16,782","16,916",73.57,72.44,74.70,"22,903","22,783","23,023"
AL,2020-09-05,"9,300","9,274","9,326",64.95,64.32,65.57,"14,319","14,281","14,357"
AR,2020-09-05,"4,851","4,659","5,043",62.91,56.27,69.56,"7,670","7,568","7,772"
CT,2020-09-05,"5,631","5,490","5,771",69.71,64.50,74.93,"8,077","7,926","8,228"
ID,2020-09-05,"1,659","1,640","1,678",46.35,43.82,48.89,"3,579","3,527","3,631"
IN,2020-09-05,"9,486","9,483","9,489",59.03,58.79,59.27,"16,070","16,045","16,095"
KS,2020-09-05,"4,023","3,917","4,129",54.66,48.81,60.51,"7,180","6,968","7,393"
LA,2020-09-05,"8,786","8,685","8,887",63.18,61.61,64.75,"13,487","13,371","13,604"
MD,2020-09-05,"7,645","7,616","7,674",77.17,75.73,78.62,"9,906","9,834","9,978"
MI,2020-09-05,"16,065","15,942","16,189",70.64,68.68,72.60,"22,742","22,544","22,941"
AL,2020-09-06,"8,888","8,863","8,913",63.23,62.62,63.85,"14,056","14,019","14,093"
AR,2020-09-06,"4,599","4,384","4,815",59.77,51.84,67.70,"7,651","7,496","7,807"
CT,2020-09-06,"5,448","5,287","5,609",67.48,61.51,73.46,"8,073","7,901","8,245"
ID,2020-09-06,"1,575","1,509","1,640",44.34,37.56,51.12,"3,551","3,447","3,655"
IN,2020-09-06,"9,053","9,043","9,063",56.52,56.22,56.82,"16,017","15,991","16,043"
KS,2020-09-06,"3,918","3,810","4,026",53.23,47.46,59.00,"7,186","6,977","7,395"
LA,2020-09-06,"8,508","8,404","8,611",62.16,60.54,63.79,"13,329","13,209","13,448"
MD,2020-09-06,"7,448","7,350","7,546",76.08,72.79,79.37,"9,790","9,658","9,922"
MI,2020-09-06,"15,527","15,403","15,650",68.37,66.54,70.21,"22,710","22,534","22,885"
AL,2020-09-07,"8,957","8,928","8,985",63.94,63.22,64.65,"14,009","13,965","14,053"
AR,2020-09-07,"4,576","4,459","4,693",59.31,54.39,64.22,"7,672","7,526","7,817"
CT,2020-09-07,"5,357","5,232","5,482",66.36,61.71,71.02,"8,073","7,939","8,206"
ID,2020-09-07,"1,537","1,508","1,566",43.47,40.41,46.53,"3,536","3,488","3,584"
IN,2020-09-07,"9,016","9,015","9,017",56.27,56.27,56.27,"16,022","16,022","16,022"
KS,2020-09-07,"3,893","3,813","3,973",52.93,48.76,57.10,"7,194","7,046","7,342"
LA,2020-09-07,"8,586","8,481","8,692",62.41,60.67,64.15,"13,389","13,261","13,516"
MD,2020-09-07,"7,333","7,304","7,362",74.49,73.18,75.79,"9,845","9,781","9,908"
MI,2020-09-07,"15,332","15,005","15,658",67.68,63.15,72.22,"22,652","22,256","23,048"
AL,2020-09-08,"9,287","9,264","9,310",66.23,65.64,66.82,"14,023","13,985","14,061"
AR,2020-09-08,"4,729","4,714","4,744",60.75,59.99,61.51,"7,742","7,713","7,771"
CT,2020-09-08,"5,428","5,428","5,428",67.24,67.24,67.24,"8,073","8,073","8,073"
ID,2020-09-08,"1,551","1,546","1,556",43.75,42.03,45.46,"3,546","3,501","3,591"
IN,2020-09-08,"9,125","9,121","9,129",56.86,56.86,56.86,"16,047","16,047","16,047"
KS,2020-09-08,"3,978","3,964","3,992",53.81,52.85,54.78,"7,178","7,107","7,250"
LA,2020-09-08,"8,662","8,524","8,800",63.66,60.34,66.98,"13,176","13,008","13,344"
MD,2020-09-08,"7,534","7,442","7,626",76.45,73.57,79.33,"9,854","9,746","9,963"
MI,2020-09-08,"15,635","15,324","15,947",69.29,65.01,73.56,"22,566","22,200","22,932"
AL,2020-09-09,"9,944","9,920","9,969",71.12,70.50,71.74,"13,983","13,945","14,021"
AR,2020-09-09,"5,184","5,171","5,197",66.05,65.51,66.59,"7,811","7,791","7,831"
CT,2020-09-09,"5,873","5,863","5,883",72.68,72.33,73.04,"8,080","8,070","8,090"
ID,2020-09-09,"1,709","1,709","1,709",48.20,46.62,49.77,"3,546","3,506","3,586"
IN,2020-09-09,"9,755","9,755","9,755",60.50,60.50,60.50,"16,123","16,123","16,123"
KS,2020-09-09,"4,236","4,215","4,256",57.29,55.90,58.68,"7,172","7,090","7,253"
LA,2020-09-09,"9,178","9,075","9,281",66.54,64.05,69.02,"13,362","13,229","13,495"
MD,2020-09-09,"7,925","7,925","7,925",79.29,79.29,79.29,"9,995","9,995","9,995"
MI,2020-09-09,"16,699","16,699","16,699",72.92,72.92,72.92,"22,902","22,902","22,902"
AL,2020-09-10,"10,032","10,018","10,045",71.99,71.69,72.30,"13,934","13,918","13,950"
AR,2020-09-10,"5,367","5,306","5,428",68.59,66.10,71.07,"7,796","7,719","7,873"
CT,2020-09-10,"6,010","5,945","6,076",74.42,71.99,76.85,"8,076","8,005","8,148"
ID,2020-09-10,"1,769","1,769","1,769",49.51,49.51,49.51,"3,573","3,539","3,607"
IN,2020-09-10,"10,144","10,138","10,151",62.79,62.61,62.96,"16,157","16,143","16,171"
KS,2020-09-10,"4,235","4,052","4,419",57.39,48.78,66.00,"7,162","6,904","7,421"
LA,2020-09-10,"9,070","8,969","9,172",66.45,64.00,68.90,"13,274","13,144","13,405"
MD,2020-09-10,"8,102","8,081","8,122",80.45,79.82,81.08,"10,070","10,045","10,095"
MI,2020-09-10,"16,965","16,949","16,981",74.19,73.96,74.41,"22,868","22,848","22,888"
AL,2020-09-11,"9,966","9,869","10,064",71.01,69.31,72.71,"14,035","13,999","14,071"
