state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
MA,2020-08-23,"10,766","10,693","10,838",66.73,64.87,68.58,"16,134","15,986","16,282"
MN,2020-08-23,"7,219","7,016","7,422",63.42,57.97,68.88,"11,382","11,160","11,604"
AZ,2020-08-24,"7,910","7,811","8,008",60.43,59.65,61.21,"10,664","10,521","10,808"
CO,2020-08-24,"5,618","5,292","5,944",56.26,44.34,68.19,"9,948","9,409","10,488"
IA,2020-08-24,"4,800","4,755","4,845",59.00,57.20,60.81,"8,135","8,077","8,193"
KY,2020-08-24,"7,478","7,344","7,613",62.30,58.68,65.92,"12,004","11,825","12,183"
MA,2020-08-24,"10,823","10,823","10,823",66.57,66.57,66.57,"16,259","16,259","16,259"
MN,2020-08-24,"7,384","7,372","7,395",65.09,64.47,65.71,"11,344","11,304","11,383"
AZ,2020-08-25,"8,370","8,270","8,470",63.66,62.74,64.57,"10,744","10,601","10,887"
CO,2020-08-25,"5,822","5,474","6,170",58.18,45.69,70.66,"9,969","9,413","10,525"
IA,2020-08-25,"5,098","5,097","5,099",62.48,62.48,62.48,"8,159","8,159","8,159"
KY,2020-08-25,"7,907","7,869","7,946",65.88,64.61,67.15,"12,003","11,916","12,090"
MA,2020-08-25,"11,369","11,369","11,369",69.99,69.99,69.99,"16,244","16,244","16,244"
MN,2020-08-25,"7,891","7,788","7,994",69.08,65.04,73.12,"11,422","11,188","11,657"
AZ,2020-08-26,"8,590","8,493","8,687",64.98,63.78,66.18,"10,834","10,700","10,969"
CO,2020-08-26,"6,077","5,761","6,392",60.69,49.18,72.20,"9,975","9,452","10,498"
IA,2020-08-26,"5,212","5,212","5,212",63.79,63.79,63.79,"8,170","8,170","8,170"
KY,2020-08-26,"8,050","8,002","8,099",66.67,65.82,67.51,"12,075","12,049","12,101"
MA,2020-08-26,"11,527","11,527","11,527",71.07,71.07,71.07,"16,220","16,220","16,220"
MN,2020-08-26,"8,108","8,106","8,111",70.25,70.09,70.40,"11,543","11,533","11,553"
AZ,2020-08-27,"8,538","8,429","8,648",64.34,62.68,65.99,"10,859","10,725","10,994"
CO,2020-08-27,"6,048","5,721","6,374",60.20,48.58,71.82,"10,018","9,499","10,536"
IA,2020-08-27,"5,112","5,111","5,114",62.65,62.51,62.79,"8,160","8,153","8,167"
KY,2020-08-27,"8,216","8,187","8,245",68.04,67.51,68.57,"12,075","12,036","12,114"
MA,2020-08-27,"11,479","11,479","11,479",70.76,70.76,70.76,"16,223","16,223","16,223"
MN,2020-08-27,"8,068","8,062","8,075",69.88,69.38,70.38,"11,546","11,513","11,579"
AZ,2020-08-28,"8,462","8,364","8,560",64.33,63.04,65.62,"10,819","10,682","10,956"
CO,2020-08-28,"5,956","5,667","6,246",59.12,48.63,69.61,"10,049","9,569","10,529"
IA,2020-08-28,"5,109","5,109","5,109",62.51,62.51,62.51,"8,173","8,162","8,184"
KY,2020-08-28,"8,074","7,944","8,204",66.57,63.07,70.07,"12,129","11,957","12,301"
MA,2020-08-28,"11,469","11,469","11,469",70.88,70.88,70.88,"16,182","16,182","16,182"
MN,2020-08-28,"7,736","7,535","7,936",68.79,63.47,74.11,"11,245","11,032","11,458"
AZ,2020-08-29,"8,295","8,133","8,456",63.37,58.85,67.89,"10,756","10,505","11,008"
CO,2020-08-29,"5,696","5,342","6,051",57.02,44.44,69.61,"9,967","9,415","10,519"
IA,2020-08-29,"4,870","4,870","4,870",59.67,59.67,59.67,"8,161","8,161","8,161"
KY,2020-08-29,"7,822","7,647","7,997",64.60,59.72,69.48,"12,109","11,860","12,358"
MA,2020-08-29,"10,997","10,993","11,001",67.94,67.78,68.10,"16,187","16,173","16,201"
MN,2020-08-29,"7,585","7,550","7,620",67.75,66.41,69.09,"11,195","11,120","11,270"
AZ,2020-08-30,"7,908","7,706","8,111",60.77,55.11,66.43,"10,711","10,432","10,989"
CO,2020-08-30,"5,612","5,287","5,937",56.03,44.56,67.50,"9,994","9,493","10,494"
IA,2020-08-30,"4,618","4,618","4,618",56.63,56.63,56.63,"8,154","8,154","8,154"
KY,2020-08-30,"7,514","7,179","7,850",62.06,52.88,71.23,"12,109","11,657","12,561"
MA,2020-08-30,"10,659","10,659","10,659",65.84,65.84,65.84,"16,190","16,190","16,190"
MN,2020-08-30,"7,150","7,116","7,184",62.82,61.61,64.04,"11,382","11,313","11,450"
AZ,2020-08-31,"7,809","7,716","7,902",59.89,58.89,60.88,"10,714","10,589","10,839"
CO,2020-08-31,"5,695","5,683","5,706",56.96,56.35,57.56,"9,961","9,920","10,002"
IA,2020-08-31,"4,614","4,610","4,619",56.62,56.37,56.87,"8,150","8,139","8,161"
KY,2020-08-31,"7,540","7,509","7,571",62.22,61.36,63.08,"12,118","12,075","12,161"
MA,2020-08-31,"10,780","10,705","10,856",66.42,64.86,67.99,"16,230","16,124","16,336"
MN,2020-08-31,"6,918","6,911","6,925",63.06,62.45,63.67,"10,970","10,930","11,010"
AZ,2020-09-01,"8,109","7,768","8,451",61.95,49.86,74.04,"10,732","10,094","11,370"
CO,2020-09-01,"5,926","5,860","5,992",58.17,54.49,61.85,"10,142","9,923","10,360"
IA,2020-09-01,"4,930","4,930","4,930",60.48,60.48,60.48,"8,151","8,137","8,165"
KY,2020-09-01,"8,076","7,946","8,205",66.59,63.02,70.17,"12,127","11,946","12,308"
MA,2020-09-01,"11,418","11,323","11,514",70.35,68.86,71.84,"16,231","16,186","16,276"
MN,2020-09-01,"7,456","7,450","7,462",66.60,66.28,66.92,"11,195","11,175","11,215"
AZ,2020-09-02,"8,424","8,335","8,512",63.61,61.17,66.04,"10,863","10,756","10,971"
CO,2020-09-02,"6,221","6,206","6,236",60.91,60.22,61.60,"10,173","10,127","10,219"
IA,2020-09-02,"4,990","4,987","4,992",61.33,61.18,61.48,"8,136","8,129","8,143"
KY,2020-09-02,"8,144","8,114","8,173",67.14,66.48,67.79,"12,130","12,111","12,149"
MA,2020-09-02,"11,548","11,500","11,597",71.02,70.12,71.93,"16,260","16,206","16,314"
MN,2020-09-02,"7,753","7,747","7,759",67.98,67.49,68.46,"11,405","11,373","11,437"
AZ,2020-09-03,"8,512","8,424","8,600",63.86,61.47,66.25,"10,919","10,814","11,024"
CO,2020-09-03,"6,021","6,007","6,035",62.09,61.45,62.73,"9,664","9,625","9,704"
IA,2020-09-03,"5,025","5,025","5,025",61.79,61.79,61.79,"8,132","8,132","8,132"
KY,2020-09-03,"8,024","7,984","8,065",66.14,65.25,67.03,"12,133","12,107","12,159"
MA,2020-09-03,"11,552","11,477","11,628",70.86,69.30,72.41,"16,304","16,198","16,410"
MN,2020-09-03,"7,754","7,745","7,763",68.72,68.13,69.31,"11,284","11,246","11,321"
AZ,2020-09-04,"8,577","8,442","8,712",64.24,60.60,67.89,"10,960","10,815","11,105"
CO,2020-09-04,"5,945","5,714","6,176",61.26,53.20,69.32,"9,663","9,338","9,987"
IA,2020-09-04,"4,961","4,959","4,963",61.05,60.91,61.19,"8,126","8,119","8,133"
KY,2020-09-04,"7,862","7,728","7,995",65.04,61.47,68.61,"12,087","11,916","12,258"
MA,2020-09-04,"11,380","11,380","11,380",69.89,69.89,69.89,"16,282","16,282","16,282"
MN,2020-09-04,"7,671","7,667","7,674",68.72,68.43,69.00,"11,163","11,145","11,181"
AZ,2020-09-05,"8,390","8,201","8,578",63.09,57.37,68.81,"10,943","10,680","11,206"
CO,2020-09-05,"5,708","5,403","6,014",59.02,48.41,69.64,"9,639","9,218","10,059"
IA,2020-09-05,"4,666","4,662","4,671",57.46,57.46,57.46,"8,121","8,121","8,121"
KY,2020-09-05,"7,716","7,574","7,859",63.89,60.26,67.52,"12,078","11,919","12,237"
MA,2020-09-05,"11,138","11,129","11,146",68.46,68.29,68.63,"16,269","16,258","16,280"
MN,2020-09-05,"7,310","7,299","7,321",64.55,63.76,65.33,"11,325","11,273","11,378"
AZ,2020-09-06,"8,013","7,797","8,230",60.69,54.05,67.32,"10,921","10,617","11,225"
CO,2020-09-06,"5,566","5,185","5,946",57.61,43.93,71.29,"9,637","9,072","10,201"
IA,2020-09-06,"4,470","4,468","4,472",55.05,54.92,55.18,"8,120","8,114","8,126"
KY,2020-09-06,"7,592","7,540","7,643",62.75,60.79,64.71,"12,097","11,972","12,223"
MA,2020-09-06,"10,650","10,594","10,707",65.45,63.99,66.90,"16,273","16,155","16,391"
MN,2020-09-06,"6,988","6,976","7,000",63.65,62.81,64.49,"10,978","10,924","11,033"
AZ,2020-09-07,"7,927","7,718","8,137",60.52,54.52,66.52,"10,948","10,677","11,220"
CO,2020-09-07,"5,516","5,283","5,750",56.99,48.73,65.25,"9,650","9,316","9,983"
IA,2020-09-07,"4,421","4,421","4,421",54.38,54.38,54.38,"8,130","8,123","8,137"
KY,2020-09-07,"7,436","7,394","7,477",61.46,59.96,62.96,"12,099","12,005","12,192"
MA,2020-09-07,"10,636","10,408","10,865",65.40,61.91,68.88,"16,265","16,245","16,285"
MN,2020-09-07,"6,939","6,931","6,948",62.78,62.08,63.47,"11,054","11,008","11,101"
AZ,2020-09-08,"7,891","7,762","8,019",60.23,56.59,63.88,"10,969","10,824","11,113"
CO,2020-09-08,"5,559","5,543","5,575",57.28,56.75,57.81,"9,669","9,639","9,698"
IA,2020-09-08,"4,521","4,516","4,526",55.57,55.57,55.57,"8,136","8,136","8,136"
KY,2020-09-08,"7,456","7,454","7,457",61.42,61.42,61.42,"12,138","12,138","12,138"
MA,2020-09-08,"10,889","10,847","10,931",66.95,65.97,67.93,"16,264","16,189","16,339"
MN,2020-09-08,"7,023","7,012","7,035",63.94,63.16,64.73,"10,984","10,933","11,035"
AZ,2020-09-09,"8,539","8,514","8,564",64.07,63.03,65.11,"10,960","10,900","11,020"
CO,2020-09-09,"6,090","6,078","6,101",62.41,61.88,62.94,"9,721","9,694","9,748"
IA,2020-09-09,"4,821","4,821","4,821",59.23,59.23,59.23,"8,139","8,139","8,139"
KY,2020-09-09,"7,538","7,514","7,563",63.60,58.16,69.04,"11,853","11,451","12,255"
MA,2020-09-09,"11,484","11,484","11,484",70.68,70.68,70.68,"16,248","16,248","16,248"
MN,2020-09-09,"7,906","7,895","7,917",68.85,68.04,69.66,"11,484","11,430","11,537"
AZ,2020-09-10,"8,636","8,566","8,706",64.52,63.55,65.50,"10,990","10,930","11,049"
CO,2020-09-10,"6,177","5,913","6,442",63.38,53.78,72.98,"9,729","9,317","10,141"
IA,2020-09-10,"4,996","4,996","4,996",61.57,61.57,61.57,"8,114","8,114","8,114"
KY,2020-09-10,"8,184","8,138","8,229",67.44,66.49,68.39,"12,134","12,117","12,152"
MA,2020-09-10,"11,733","11,733","11,733",72.07,72.07,72.07,"16,280","16,280","16,280"
MN,2020-09-10,"7,886","7,880","7,892",70.05,69.36,70.74,"11,258","11,212","11,304"
AZ,2020-09-11,"8,355","8,336","8,375",61.86,60.93,62.79,"10,929","10,873","10,985"
CO,2020-09-11,"6,185","6,175","6,195",63.45,62.89,64.00,"9,715","9,685","9,745"
IA,2020-09-11,"4,866","4,866","4,866",60.54,60.54,60.54,"8,037","8,037","8,037"
KY,2020-09-11,"8,168","8,120","8,216",67.31,66.35,68.28,"12,134","12,126","12,142"
MA,2020-09-11,"11,687","11,631","11,743",71.80,70.32,73.28,"16,277","16,159","16,395"
MN,2020-09-11,"7,818","7,814","7,821",69.32,68.79,69.85,"11,277","11,241","11,313"
AZ,2020-09-12,"8,253","8,123","8,383",62.15,57.73,66.57,"10,822","10,603","11,042"
CO,2020-09-12,"5,812","5,673","5,950",59.96,55.28,64.65,"9,672","9,491","9,852"
IA,2020-09-12,"4,711","4,711","4,711",58.57,58.57,58.57,"8,043","8,032","8,054"
KY,2020-09-12,"7,819","7,755","7,884",64.53,62.84,66.22,"12,118","12,038","12,198"
MA,2020-09-12,"11,246","11,246","11,246",69.20,69.20,69.20,"16,252","16,252","16,252"
MN,2020-09-12,"7,482","7,470","7,493",67.67,66.95,68.39,"11,056","11,011","11,101"
AZ,2020-09-13,"8,081","7,909","8,253",60.62,55.19,66.04,"10,850","10,600","11,101"
CO,2020-09-13,"5,708","5,439","5,978",58.82,49.50,68.14,"9,678","9,309","10,047"
IA,2020-09-13,"4,627","4,624","4,630",57.60,57.37,57.83,"8,033","8,022","8,044"
KY,2020-09-13,"7,791","7,732","7,850",64.35,62.69,66.00,"12,108","12,023","12,193"
MA,2020-09-13,"10,778","10,778","10,778",66.31,66.31,66.31,"16,253","16,253","16,253"
MN,2020-09-13,"7,162","7,157","7,167",65.57,65.12,66.02,"10,922","10,892","10,952"
AZ,2020-09-14,"8,048","8,021","8,076",61.27,60.23,62.32,"10,835","10,778","10,892"
CO,2020-09-14,"5,770","5,760","5,781",59.39,59.00,59.77,"9,690","9,673","9,707"
IA,2020-09-14,"4,750","4,747","4,752",58.99,58.99,58.99,"8,052","8,052","8,052"
KY,2020-09-14,"7,863","7,822","7,904",64.15,63.12,65.17,"12,258","12,212","12,304"
MA,2020-09-14,"10,917","10,917","10,917",66.56,66.56,66.56,"16,402","16,402","16,402"
MN,2020-09-14,"7,109","7,097","7,121",65.27,64.70,65.85,"10,891","10,857","10,925"
AZ,2020-09-15,"8,516","8,497","8,535",64.04,63.32,64.76,"10,915","10,876","10,954"
CO,2020-09-15,"6,324","6,314","6,335",64.80,64.10,65.51,"9,733","9,694","9,772"
IA,2020-09-15,"5,000","4,998","5,003",62.16,62.16,62.16,"8,045","8,045","8,045"
KY,2020-09-15,"8,392","8,392","8,392",69.16,69.16,69.16,"12,134","12,134","12,134"
MA,2020-09-15,"11,521","11,521","11,521",70.18,70.18,70.18,"16,417","16,417","16,417"
MN,2020-09-15,"7,703","7,699","7,707",69.60,69.09,70.11,"11,067","11,034","11,100"
AZ,2020-09-16,"8,639","8,620","8,658",64.84,64.84,64.84,"10,840","10,800","10,880"
CO,2020-09-16,"6,563","6,552","6,573",67.09,66.66,67.51,"9,756","9,735","9,776"
IA,2020-09-16,"5,076","5,072","5,080",63.06,63.06,63.06,"8,049","8,049","8,049"
KY,2020-09-16,"8,428","8,410","8,446",69.45,68.69,70.20,"12,136","12,087","12,184"
MA,2020-09-16,"11,766","11,766","11,766",71.63,71.63,71.63,"16,427","16,427","16,427"
MN,2020-09-16,"7,833","7,830","7,836",70.18,70.18,70.18,"11,161","11,161","11,161"
AZ,2020-09-17,"8,770","8,751","8,789",65.91,65.91,65.91,"10,933","10,892","10,974"
CO,2020-09-17,"6,505","6,501","6,509",66.57,66.42,66.72,"9,746","9,740","9,752"
IA,2020-09-17,"5,070","5,068","5,072",63.04,62.54,63.55,"8,042","8,017","8,067"
KY,2020-09-17,"8,371","8,289","8,453",68.97,66.75,71.19,"12,137","12,026","12,248"
MA,2020-09-17,"11,826","11,784","11,868",72.01,71.03,72.99,"16,423","16,348","16,498"
MN,2020-09-17,"7,947","7,900","7,993",71.02,69.97,72.07,"11,190","11,167","11,212"
AZ,2020-09-18,"8,714","8,693","8,736",65.57,65.32,65.83,"10,923","10,877","10,969"
CO,2020-09-18,"6,392","6,381","6,404",65.54,65.11,65.98,"9,724","9,705","9,743"
IA,2020-09-18,"5,012","5,012","5,012",62.43,62.43,62.43,"8,028","8,019","8,037"
KY,2020-09-18,"8,218","8,177","8,258",67.70,67.70,67.70,"12,138","12,138","12,138"
MA,2020-09-18,"11,770","11,770","11,770",71.69,71.69,71.69,"16,417","16,417","16,417"
MN,2020-09-18,"7,911","7,711","8,112",70.67,65.34,76.01,"11,194","10,980","11,408"
AZ,2020-09-19,"8,605","8,296","8,914",64.80,59.41,70.20,"10,895","10,641","11,149"
CO,2020-09-19,"6,084","5,946","6,222",62.70,58.04,67.35,"9,694","9,514","9,874"
IA,2020-09-19,"4,849","4,849","4,849",60.39,60.39,60.39,"8,029","8,029","8,029"
KY,2020-09-19,"7,945","7,848","8,042",65.48,62.77,68.20,"12,133","11,993","12,273"
MA,2020-09-19,"11,553","11,480","11,626",70.41,68.91,71.90,"16,409","16,306","16,512"
MN,2020-09-19,"7,599","7,464","7,734",68.96,64.83,73.09,"11,019","10,828","11,210"
AZ,2020-09-20,"8,497","8,129","8,865",63.67,57.11,70.23,"10,898","10,594","11,202"
CO,2020-09-20,"5,933","5,504","6,362",61.02,46.89,75.14,"9,714","9,187","10,241"
IA,2020-09-20,"4,656","4,656","4,656",57.92,57.92,57.92,"8,039","8,028","8,050"
KY,2020-09-20,"7,587","7,539","7,635",62.53,60.90,64.15,"12,134","12,035","12,233"
MA,2020-09-20,"10,981","10,895","11,067",66.90,65.14,68.67,"16,413","16,292","16,534"
MN,2020-09-20,"7,159","7,154","7,164",66.06,65.69,66.43,"10,837","10,814","10,860"
HI,2020-08-20,"1,424","1,409","1,439",70.59,67.35,73.83,"1,615","1,593","1,637"
ME,2020-08-20,"1,903","1,885","1,921",68.57,67.52,69.63,"2,762","2,728","2,796"
MS,2020-08-20,"4,980","4,974","4,986",67.00,66.61,67.38,"7,399","7,383","7,415"
MT,2020-08-20,"2,076","2,045","2,107",76.86,76.86,76.86,"3,106","3,106","3,106"
NJ,2020-08-20,"13,799","13,386","14,212",74.24,74.24,74.24,"18,041","17,419","18,663"
NV,2020-08-20,"5,242","5,242","5,242",69.86,69.86,69.86,"7,504","7,494","7,514"
HI,2020-08-21,"1,452","1,437","1,467",71.91,68.66,75.16,"1,627","1,604","1,650"
ME,2020-08-21,"1,864","1,832","1,896",67.16,64.00,70.33,"2,762","2,717","2,807"
MS,2020-08-21,"4,946","4,917","4,975",66.65,64.88,68.42,"7,388","7,321","7,455"
MT,2020-08-21,"2,045","1,885","2,205",75.49,56.17,94.81,"3,114","2,830","3,398"
NJ,2020-08-21,"13,569","12,963","14,175",73.72,66.43,81.01,"17,850","17,079","18,621"
NV,2020-08-21,"5,267","5,228","5,306",70.20,68.29,72.11,"7,503","7,438","7,568"
HI,2020-08-22,"1,496","1,482","1,510",70.03,67.19,72.86,"1,765","1,743","1,787"
ME,2020-08-22,"1,810","1,692","1,927",65.28,50.60,79.96,"2,758","2,579","2,938"
MS,2020-08-22,"4,686","4,568","4,804",63.62,58.31,68.93,"7,330","7,171","7,488"
MT,2020-08-22,"1,984","1,757","2,211",74.41,46.49,102.33,"3,071","2,696","3,446"
NJ,2020-08-22,"12,957","12,481","13,433",70.36,66.33,74.39,"17,770","17,099","18,441"
NV,2020-08-22,"5,271","5,213","5,329",70.48,67.75,73.21,"7,478","7,389","7,567"
HI,2020-08-23,"1,519","1,505","1,533",71.22,68.26,74.18,"1,765","1,741","1,789"
ME,2020-08-23,"1,780","1,642","1,917",64.26,46.95,81.57,"2,756","2,545","2,966"
MS,2020-08-23,"4,539","4,488","4,590",62.08,59.46,64.70,"7,274","7,184","7,363"
MT,2020-08-23,"1,958","1,706","2,209",73.54,43.63,103.44,"3,066","2,703","3,428"
NJ,2020-08-23,"13,050","12,550","13,549",69.47,64.74,74.19,"18,151","17,456","18,846"
NV,2020-08-23,"5,203","5,151","5,256",69.58,67.13,72.04,"7,478","7,398","7,558"
HI,2020-08-24,"1,528","1,528","1,528",71.66,71.66,71.66,"1,750","1,750","1,750"
ME,2020-08-24,"1,805","1,688","1,921",64.90,50.31,79.49,"2,767","2,589","2,945"
MS,2020-08-24,"4,630","4,611","4,649",62.77,61.68,63.85,"7,342","7,302","7,381"
MT,2020-08-24,"1,929","1,905","1,953",72.29,70.00,74.57,"3,071","3,052","3,090"
NJ,2020-08-24,"13,415","12,903","13,926",71.07,66.06,76.07,"18,212","17,509","18,915"
NV,2020-08-24,"5,174","5,174","5,174",69.14,69.14,69.14,"7,483","7,483","7,483"
HI,2020-08-25,"1,577","1,577","1,577",72.96,72.96,72.96,"1,764","1,764","1,764"
ME,2020-08-25,"1,915","1,899","1,931",67.72,65.64,69.80,"2,816","2,789","2,843"
MS,2020-08-25,"4,812","4,803","4,821",64.55,64.20,64.90,"7,421","7,407","7,435"
MT,2020-08-25,"1,813","1,786","1,840",66.89,57.84,75.93,"3,113","2,969","3,257"
NJ,2020-08-25,"14,100","13,597","14,602",74.34,69.25,79.43,"18,284","17,600","18,968"
NV,2020-08-25,"5,270","5,262","5,278",70.43,70.04,70.82,"7,483","7,470","7,496"
HI,2020-08-26,"1,590","1,571","1,608",73.32,71.85,74.79,"1,775","1,764","1,786"
ME,2020-08-26,"1,954","1,859","2,048",68.76,58.21,79.30,"2,828","2,712","2,944"
MS,2020-08-26,"4,906","4,849","4,962",65.52,62.16,68.87,"7,454","7,326","7,582"
MT,2020-08-26,"1,867","1,823","1,911",70.44,58.99,81.89,"3,054","2,885","3,223"
NJ,2020-08-26,"14,293","13,803","14,783",75.35,70.24,80.45,"18,281","17,605","18,957"
NV,2020-08-26,"5,318","5,283","5,352",71.06,69.04,73.08,"7,483","7,408","7,558"
HI,2020-08-27,"1,602","1,582","1,622",73.51,73.51,73.51,"1,778","1,765","1,791"
ME,2020-08-27,"1,970","1,940","2,001",69.43,65.80,73.07,"2,825","2,782","2,868"
MS,2020-08-27,"4,856","4,838","4,873",65.46,64.56,66.35,"7,385","7,355","7,415"
MT,2020-08-27,"1,816","1,748","1,884",69.82,55.34,84.30,"3,004","2,728","3,281"
NJ,2020-08-27,"14,708","14,243","15,174",77.76,69.74,85.79,"18,914","18,277","19,551"
NV,2020-08-27,"5,302","5,133","5,472",71.01,65.61,76.41,"7,467","7,453","7,481"
HI,2020-08-28,"1,628","1,604","1,652",74.68,72.75,76.60,"1,773","1,761","1,785"
ME,2020-08-28,"1,868","1,854","1,883",66.36,64.45,68.27,"2,802","2,777","2,827"
MS,2020-08-28,"4,774","4,765","4,782",64.29,63.92,64.66,"7,392","7,381","7,404"
MT,2020-08-28,"1,840","1,830","1,850",70.00,58.00,82.00,"3,032","2,845","3,219"
NJ,2020-08-28,"14,797","14,361","15,233",77.81,70.17,85.45,"19,017","18,410","19,624"
NV,2020-08-28,"5,195","5,160","5,230",69.42,67.94,70.91,"7,483","7,439","7,527"
HI,2020-08-29,"1,561","1,534","1,588",71.14,68.39,73.90,"1,763","1,745","1,781"
ME,2020-08-29,"1,838","1,722","1,955",65.17,50.62,79.71,"2,807","2,628","2,985"
MS,2020-08-29,"4,486","4,368","4,604",60.76,55.50,66.02,"7,352","7,197","7,507"
MT,2020-08-29,"1,797","1,640","1,954",69.59,46.38,92.80,"2,987","2,652","3,322"
NJ,2020-08-29,"13,778","13,407","14,149",73.07,66.13,80.00,"18,857","18,285","19,429"
NV,2020-08-29,"5,130","5,090","5,169",68.68,66.25,71.11,"7,469","7,375","7,563"
HI,2020-08-30,"1,530","1,503","1,557",69.40,66.92,71.88,"1,762","1,746","1,779"
ME,2020-08-30,"1,765","1,649","1,882",62.47,47.95,76.98,"2,810","2,632","2,989"
MS,2020-08-30,"4,116","4,062","4,171",59.10,56.24,61.96,"6,932","6,841","7,022"
MT,2020-08-30,"1,742","1,580","1,904",68.25,44.09,92.40,"2,958","2,597","3,319"
NJ,2020-08-30,"13,389","13,047","13,731",71.33,64.91,77.75,"18,771","18,243","19,299"
NV,2020-08-30,"5,063","5,028","5,099",67.71,66.17,69.25,"7,478","7,432","7,524"
HI,2020-08-31,"1,560","1,537","1,583",70.46,70.46,70.46,"1,767","1,767","1,767"
ME,2020-08-31,"1,785","1,774","1,796",62.41,61.01,63.82,"2,844","2,825","2,863"
MS,2020-08-31,"4,414","4,213","4,616",61.34,52.54,70.14,"7,167","6,934","7,400"
MT,2020-08-31,"1,707","1,622","1,792",68.05,50.68,85.42,"2,915","2,582","3,249"
NJ,2020-08-31,"13,750","13,419","14,081",73.10,66.95,79.24,"18,811","18,310","19,312"
NV,2020-08-31,"5,046","5,011","5,082",67.56,66.05,69.08,"7,469","7,425","7,513"
HI,2020-09-01,"1,574","1,550","1,598",71.88,71.88,71.88,"1,753","1,742","1,764"
ME,2020-09-01,"1,837","1,837","1,837",64.62,64.62,64.62,"2,829","2,829","2,829"
MS,2020-09-01,"4,940","4,890","4,991",65.34,62.94,67.74,"7,535","7,454","7,616"
MT,2020-09-01,"1,841","1,756","1,926",73.74,61.85,85.64,"2,708","2,366","3,049"
NJ,2020-09-01,"14,478","14,172","14,784",76.56,70.90,82.22,"18,910","18,448","19,372"
NV,2020-09-01,"5,123","5,123","5,123",68.46,68.46,68.46,"7,483","7,460","7,506"
HI,2020-09-02,"1,493","1,467","1,519",70.03,68.54,71.52,"1,752","1,741","1,763"
ME,2020-09-02,"1,860","1,833","1,888",65.32,62.12,68.52,"2,834","2,797","2,872"
MS,2020-09-02,"4,905","4,887","4,923",65.59,64.92,66.26,"7,452","7,436","7,468"
MT,2020-09-02,"1,914","1,822","2,006",74.82,62.04,87.59,"2,686","2,327","3,046"
NJ,2020-09-02,"14,749","14,487","15,011",77.14,72.38,81.90,"19,120","18,729","19,511"
NV,2020-09-02,"5,160","5,102","5,219",69.43,66.82,72.03,"7,433","7,353","7,513"
HI,2020-09-03,"1,512","1,487","1,538",71.13,71.13,71.13,"1,756","1,756","1,756"
ME,2020-09-03,"1,912","1,795","2,028",66.82,52.55,81.10,"2,847","2,669","3,025"
MS,2020-09-03,"4,944","4,934","4,954",66.33,65.86,66.80,"7,431","7,416","7,446"
MT,2020-09-03,"1,818","1,727","1,909",71.09,58.31,83.88,"2,668","2,300","3,036"
NJ,2020-09-03,"14,493","14,246","14,739",77.40,73.43,81.38,"18,724","18,445","19,003"
NV,2020-09-03,"5,142","5,137","5,146",68.89,68.89,68.89,"7,463","7,463","7,463"
HI,2020-09-04,"1,478","1,449","1,507",69.93,67.94,71.91,"1,739","1,727","1,751"
ME,2020-09-04,"1,867","1,847","1,887",65.45,62.83,68.06,"2,839","2,804","2,874"
MS,2020-09-04,"4,887","4,874","4,900",65.85,65.33,66.38,"7,400","7,386","7,414"
MT,2020-09-04,"1,778","1,628","1,928",70.55,50.19,90.92,"2,657","2,267","3,047"
NJ,2020-09-04,"14,567","14,328","14,807",77.29,73.44,81.14,"18,847","18,575","19,119"
NV,2020-09-04,"5,058","5,048","5,069",68.23,67.70,68.76,"7,414","7,395","7,433"
HI,2020-09-05,"1,472","1,442","1,502",69.72,67.25,72.20,"1,747","1,731","1,763"
ME,2020-09-05,"1,802","1,686","1,919",63.48,49.13,77.83,"2,826","2,649","3,003"
MS,2020-09-05,"4,597","4,549","4,645",62.43,60.09,64.76,"7,340","7,264","7,416"
MT,2020-09-05,"1,669","1,499","1,840",69.85,46.02,93.67,"2,549","2,150","2,947"
NJ,2020-09-05,"13,512","13,218","13,805",72.54,67.11,77.97,"18,626","18,191","19,061"
NV,2020-09-05,"4,939","4,900","4,978",65.26,63.38,67.15,"7,568","7,503","7,633"
HI,2020-09-06,"1,436","1,407","1,464",67.00,64.96,69.04,"1,754","1,738","1,771"
ME,2020-09-06,"1,716","1,579","1,852",61.02,44.00,78.04,"2,799","2,592","3,006"
MS,2020-09-06,"4,516","4,396","4,636",61.57,56.21,66.93,"7,310","7,153","7,467"
MT,2020-09-06,"1,676","1,506","1,845",69.65,46.36,92.93,"2,575","2,187","2,963"
NJ,2020-09-06,"13,407","12,415","14,400",71.17,53.90,88.45,"18,837","17,506","20,169"
NV,2020-09-06,"4,906","4,904","4,908",65.74,65.64,65.84,"7,463","7,459","7,467"
HI,2020-09-07,"1,420","1,390","1,450",66.15,59.82,72.48,"1,758","1,693","1,823"
ME,2020-09-07,"1,681","1,564","1,798",59.51,44.97,74.04,"2,814","2,636","2,992"
MS,2020-09-07,"4,560","4,523","4,597",62.10,60.52,63.67,"7,319","7,276","7,362"
MT,2020-09-07,"1,687","1,535","1,838",69.27,48.60,89.93,"2,587","2,212","2,961"
